P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType,Did the conclusion follow with logical neccesity 
3,30,6,574,729,562,3933,ACF,No
3,31,5,322,504,531,1826,MPF,No
3,32,4,198,492,530,4246,DB,No
4,1,4,335,258,943,,DB,No
4,2,3,278,532,1890,345,CB,Yes
4,3,2,535,513,1130,,AC,Yes
4,4,1,852,1418,1195,329,MP,Yes
4,5,8,462,1352,1070,1112,DF,Yes
4,6,7,275,415,758,169,CF,No
4,7,6,1095,868,752,,ACF,No
4,8,5,627,673,550,1130,MPF,No
4,9,4,545,760,763,1761,DB,No
4,10,3,402,485,343,538,CB,Yes
4,11,2,516,513,2419,4972,AC,Yes
4,12,1,527,,158,19241,MP,Yes
4,13,8,730,843,2137,2911,DF,Yes
4,14,7,463,485,554,368,CF,No
4,15,6,121,1803,709,1518,ACF,No
4,16,5,2079,1065,819,1227,MPF,No
4,17,4,296,650,1762,,DB,No
4,18,3,416,845,763,304,CB,Yes
4,19,2,635,537,949,906,AC,Yes
4,20,1,587,655,2167,,MP,Yes
4,21,8,489,1070,1119,,DF,Yes
4,22,7,363,,4214,137,CF,No
4,23,6,758,816,761,1239,ACF,No
4,24,5,727,370,746,,MPF,No
4,25,4,552,599,879,643,DB,No
4,26,3,380,443,651,1149,CB,Yes
4,27,2,437,702,1663,1655,AC,Yes
4,28,1,645,,150,5049,MP,Yes
4,29,8,713,479,1175,108,DF,No
4,30,7,402,504,709,1349,CF,No
4,31,6,1560,2663,1100,1147,ACF,No
4,32,5,523,1460,787,,MPF,No
5,1,5,270,664,643,1231,MPF,No
5,2,4,1171,1494,608,4265,DB,No
5,3,3,917,903,467,2715,CB,Yes
5,4,2,600,1657,500,2108,AC,No
5,5,1,851,1413,1442,2316,MP,Yes
5,6,8,734,,4259,18396,DF,Yes
5,7,7,612,2934,684,,CF,No
5,8,6,1166,1458,697,964,ACF,No
5,9,5,962,4009,1638,1551,MPF,No
5,10,4,519,1904,1254,3700,DB,No
5,11,3,1343,2552,1070,1206,CB,Yes
5,12,2,543,976,488,6725,AC,No
5,13,1,901,2692,587,1213,MP,Yes
5,14,8,176,2182,1956,1061,DF,Yes
5,15,7,534,3128,949,1903,CF,No
5,16,6,827,1208,765,2744,ACF,No
5,17,5,1209,4449,1837,1083,MPF,No
5,18,4,1817,965,908,4497,DB,No
5,19,3,502,1319,504,1161,CB,Yes
5,20,2,638,616,3264,4584,AC,No
5,21,1,1286,2206,400,1626,MP,Yes
5,22,8,1295,1723,713,7045,DF,Yes
5,23,7,354,2035,935,2088,CF,No
5,24,6,1122,2342,1100,1467,ACF,No
5,25,5,1482,1994,2144,4765,MPF,No
5,26,4,1514,1759,612,3020,DB,No
5,27,3,855,1809,454,1789,CB,Yes
5,28,2,778,1194,5155,8621,AC,No
5,29,1,2136,2092,812,2011,MP,Yes
5,30,8,2436,1579,509,1694,DF,Yes
5,31,7,1449,2407,978,938,CF,No
5,32,6,1064,2363,984,818,ACF,No
6,1,6,1233,3127,,2110,ACF,No
6,2,5,1352,2496,1680,4550,MPF,No
6,3,4,1059,3995,1513,3661,DB,No
6,4,3,725,2318,3363,434,CB,Yes
6,5,2,752,2301,1538,6250,AC,Yes
6,6,1,1566,1620,531,3018,MP,Yes
6,7,8,707,1254,6676,7613,DF,No
6,8,7,1344,2086,1398,3097,CF,No
6,9,6,1141,2000,1266,9067,ACF,No
6,10,5,985,2783,553,,MPF,No
6,11,4,860,3413,3323,374,DB,No
6,12,3,1151,2274,857,2340,CB,Yes
6,13,2,1493,4051,767,3044,AC,Yes
6,14,1,1570,1842,864,1596,MP,Yes
6,15,8,963,2369,,5446,DF,Yes
6,16,7,787,2595,2024,9114,CF,No
6,17,6,685,2659,2511,1070,ACF,No
6,18,5,707,2790,530,673,MPF,No
6,19,4,1339,1531,940,1502,DB,Yes
6,20,3,1363,957,627,2844,CB,Yes
6,21,2,501,2712,701,4312,AC,Yes
6,22,1,1022,1809,1225,2655,MP,Yes
6,23,8,1664,2202,671,3905,DF,Yes
6,24,7,1201,2753,1249,3432,CF,No
6,25,6,859,2605,1163,507,ACF,No
6,26,5,1041,1826,1014,5787,MPF,No
6,27,4,730,2485,913,4641,DB,No
6,28,3,1618,2077,2456,7821,CB,Yes
6,29,2,873,2127,3311,427,AC,Yes
6,30,1,1195,1450,1892,4886,MP,Yes
6,31,8,1362,1582,172,12044,DF,No
6,32,7,1018,3823,342,1693,CF,No
7,1,7,2707,674,4447,245,CF,No
7,2,6,3060,681,1776,,ACF,No
7,3,5,2997,2675,,,MPF,No
7,4,4,2063,3516,334,2713,DB,No
7,5,3,1038,1248,2856,1468,CB,Yes
7,6,2,2162,6684,515,250,AC,Yes
7,7,1,3339,828,535,361,MP,Yes
7,8,8,1504,1981,7867,638,DF,Yes
7,9,7,2190,981,1798,6681,CF,No
7,10,6,2063,773,6641,11964,ACF,No
7,11,5,2715,1084,1346,936,MPF,No
7,12,4,2004,618,433,4849,DB,No
7,13,3,849,1800,4097,,CB,Yes
7,14,2,1805,2005,6779,,AC,Yes
7,15,1,2076,874,2501,14031,MP,Yes
7,16,8,,469,685,1926,DF,Yes
7,17,7,2798,1496,1016,,CF,No
7,18,6,1772,,,10159,ACF,No
7,19,5,1829,4407,2900,3042,MPF,No
7,20,4,2221,1555,,11203,DB,No
7,21,3,956,662,2167,1788,CB,Yes
7,22,2,1338,711,3181,,AC,Yes
7,23,1,4485,394,5494,718,MP,Yes
7,24,8,1515,918,623,7190,DF,Yes
7,25,7,2256,917,4107,278,CF,No
7,26,6,2535,1317,917,2527,ACF,No
7,27,5,2423,1215,1584,2162,MPF,No
7,28,4,2277,2619,489,12662,DB,Yes
7,29,3,8364,1123,398,1944,CB,Yes
7,30,2,2626,4764,8704,1634,AC,Yes
7,31,1,3309,932,152,15365,MP,Yes
7,32,8,4235,1390,10589,1416,DF,Yes
8,1,8,576,1330,1537,599,DF,No
8,2,7,1188,898,671,3714,CF,Yes
8,3,6,411,432,1235,1293,ACF,No
8,4,5,656,672,770,3392,MPF,No
8,5,4,975,507,580,1281,DB,No
8,6,3,672,649,615,1374,CB,Yes
8,7,2,393,1154,886,1669,AC,Yes
8,8,1,1796,742,369,597,MP,Yes
8,9,8,971,1392,716,1109,DF,Yes
8,10,7,1465,817,476,1625,CF,Yes
8,11,6,1458,774,1708,1709,ACF,No
8,12,5,1917,2060,2357,5029,MPF,No
8,13,4,713,866,,2132,DB,Yes
8,14,3,688,529,408,1269,CB,Yes
8,15,2,548,579,962,661,AC,Yes
8,16,1,824,734,332,564,MP,Yes
8,17,8,1271,2988,580,1381,DF,Yes
8,18,7,3246,4388,1265,696,CF,Yes
8,19,6,2146,644,3081,19044,ACF,No
8,20,5,948,4272,931,493,MPF,No
8,21,4,1024,510,432,1125,DB,No
8,22,3,734,530,422,706,CB,Yes
8,23,2,1232,500,1030,1472,AC,Yes
8,24,1,1174,1390,489,800,MP,Yes
8,25,8,740,1173,576,860,DF,Yes
8,26,7,677,1337,543,2268,CF,Yes
8,27,6,542,488,826,1145,ACF,No
8,28,5,805,3310,1656,814,MPF,No
8,29,4,1328,535,627,2725,DB,No
8,30,3,1580,463,375,690,CB,Yes
8,31,2,871,878,3113,932,AC,Yes
8,32,1,469,621,456,643,MP,Yes
9,1,1,595,525,527,1018,MP,Yes
9,2,8,442,2067,728,702,DF,Yes
9,3,7,434,943,1045,3133,CF,No
9,4,6,448,692,2734,7191,ACF,No
9,5,5,341,762,1430,6786,MPF,No
9,6,4,607,1175,1512,1902,DB,No
9,7,3,420,1388,1928,8302,CB,Yes
9,8,2,357,503,955,5330,AC,Yes
9,9,1,650,2227,890,647,MP,Yes
9,10,8,384,3362,947,1763,DF,Yes
9,11,7,575,1059,980,4343,CF,Yes
9,12,6,610,1665,1858,1340,ACF,No
9,13,5,568,3282,3604,1419,MPF,No
9,14,4,225,2004,644,3162,DB,No
9,15,3,718,529,561,344,CB,Yes
9,16,2,444,3673,4614,2599,AC,Yes
9,17,1,420,2362,477,2048,MP,Yes
9,18,8,484,2748,886,1468,DF,Yes
9,19,7,186,1048,1503,10944,CF,No
9,20,6,441,4118,2703,2836,ACF,No
9,21,5,396,2070,821,11379,MPF,No
9,22,4,433,2388,552,470,DB,No
9,23,3,642,755,723,1217,CB,Yes
9,24,2,444,1523,545,430,AC,Yes
9,25,1,332,717,1411,582,MP,Yes
9,26,8,370,1301,,2897,DF,Yes
9,27,7,323,2100,1542,1017,CF,Yes
9,28,6,550,1872,1777,8143,ACF,No
9,29,5,355,829,2530,1010,MPF,No
9,30,4,157,825,968,1913,DB,No
9,31,3,737,1521,975,1273,CB,Yes
9,32,2,486,1281,564,943,AC,Yes
10,1,2,417,1085,448,3315,AC,No
10,2,1,303,562,379,11424,MP,Yes
10,3,8,729,1431,709,2134,DF,Yes
10,4,7,499,751,833,613,CF,No
10,5,6,428,2698,611,2172,ACF,No
10,6,5,648,1077,677,2480,MPF,No
10,7,4,305,541,377,1054,DB,No
10,8,3,448,534,398,1447,CB,Yes
10,9,2,1592,2467,508,2099,AC,No
10,10,1,572,475,875,672,MP,Yes
10,11,8,490,717,900,1464,DF,Yes
10,12,7,512,1339,1054,169,CF,No
10,13,6,827,1050,2723,,ACF,No
10,14,5,941,1033,2507,562,MPF,No
10,15,4,450,761,361,1565,DB,Yes
10,16,3,561,1036,326,3077,CB,Yes
10,17,2,348,537,381,4132,AC,No
10,18,1,774,821,410,1388,MP,Yes
10,19,8,324,1343,643,1462,DF,No
10,20,7,422,596,596,896,CF,No
10,21,6,669,1515,690,1144,ACF,No
10,22,5,941,780,1029,3266,MPF,No
10,23,4,589,1558,926,3275,DB,No
10,24,3,381,1623,1943,471,CB,Yes
10,25,2,394,1910,1500,786,AC,No
10,26,1,1206,605,437,2103,MP,Yes
10,27,8,2629,1685,473,386,DF,No
10,28,7,379,1054,606,1414,CF,No
10,29,6,1202,1716,671,1836,ACF,No
10,30,5,612,2877,961,1171,MPF,No
10,31,4,392,732,2678,1715,DB,No
10,32,3,547,2110,934,2657,CB,Yes
11,1,3,1296,1529,892,1720,CB,Yes
11,2,2,854,1421,1036,2677,AC,No
11,3,1,662,1298,554,1299,MP,Yes
11,4,8,448,1181,1069,1299,DF,Yes
11,5,7,651,1219,702,,CF,Yes
11,6,6,578,1253,1040,,ACF,No
11,7,5,940,969,2889,1023,MPF,No
11,8,4,764,899,618,1115,DB,No
11,9,3,907,1456,506,1685,CB,Yes
11,10,2,851,1154,1279,361,AC,Yes
11,11,1,1384,1329,681,826,MP,Yes
11,12,8,717,1558,753,,DF,No
11,13,7,569,1880,1601,3649,CF,No
11,14,6,746,738,1741,1611,ACF,No
11,15,5,705,902,1259,920,MPF,No
11,16,4,803,967,1206,974,DB,No
11,17,3,1164,2913,1386,1016,CB,Yes
11,18,2,1079,1229,841,9057,AC,No
11,19,1,1106,859,1290,789,MP,Yes
11,20,8,488,1099,1012,2469,DF,No
11,21,7,481,1139,618,406,CF,No
11,22,6,1093,1505,912,1719,ACF,No
11,23,5,1034,941,1402,1154,MPF,No
11,24,4,875,1851,671,,DB,No
11,25,3,721,946,608,591,CB,Yes
11,26,2,1139,814,1789,6118,AC,Yes
11,27,1,1022,1902,573,1473,MP,Yes
11,28,8,611,1390,627,720,DF,Yes
11,29,7,425,800,924,699,CF,No
11,30,6,768,863,1223,1480,ACF,No
11,31,5,1267,1227,674,1877,MPF,No
11,32,4,773,1170,2038,1279,DB,No
12,1,4,615,1143,1020,1168,DB,No
12,2,3,660,1080,1623,3195,CB,Yes
12,3,2,683,1100,1127,7510,AC,No
12,4,1,638,1005,3579,1812,MP,Yes
12,5,8,701,1382,854,974,DF,Yes
12,6,7,650,1294,2467,2037,CF,No
12,7,6,618,837,1837,4472,ACF,No
12,8,5,652,856,801,2880,MPF,No
12,9,4,456,3682,1529,3470,DB,No
12,10,3,2990,,,9104,CB,Yes
12,11,2,633,1261,866,2180,AC,Yes
12,12,1,827,1696,1479,1605,MP,Yes
12,13,8,601,863,1431,1126,DF,Yes
12,14,7,716,1280,2848,4778,CF,Yes
12,15,6,706,3465,2213,2620,ACF,No
12,16,5,557,956,1645,6358,MPF,No
12,17,4,972,1719,349,3817,DB,No
12,18,3,901,1658,668,621,CB,Yes
12,19,2,767,1037,1480,7273,AC,No
12,20,1,847,2418,604,659,MP,Yes
12,21,8,720,1496,1508,1629,DF,Yes
12,22,7,666,977,2753,3090,CF,No
12,23,6,1524,1144,1654,4661,ACF,No
12,24,5,906,803,1436,4466,MPF,No
12,25,4,579,4211,1730,1929,DB,No
12,26,3,689,1101,1353,1457,CB,Yes
12,27,2,716,2292,1205,6575,AC,No
12,28,1,850,4307,1225,1680,MP,Yes
12,29,8,770,1115,1041,4439,DF,Yes
12,30,7,1140,2205,1464,13932,CF,Yes
12,31,6,755,1522,5494,1962,ACF,No
12,32,5,1173,992,907,3474,MPF,No
13,1,5,1431,1022,2000,3520,MPF,No
13,2,4,904,3033,1692,1171,DB,No
13,3,3,906,764,933,4237,CB,Yes
13,4,2,566,1684,709,1764,AC,No
13,5,1,1282,1148,1254,835,MP,Yes
13,6,8,1685,1260,1344,4853,DF,Yes
13,7,7,762,621,3874,805,CF,No
13,8,6,1050,1572,1238,5971,ACF,No
13,9,5,1615,807,1186,3011,MPF,No
13,10,4,855,887,1357,4794,DB,No
13,11,3,720,742,737,5251,CB,No
13,12,2,781,776,2682,2178,AC,Yes
13,13,1,868,847,1062,3645,MP,Yes
13,14,8,1132,1163,1603,6526,DF,No
13,15,7,1078,1348,,3632,CF,No
13,16,6,667,779,2459,3256,ACF,No
13,17,5,2063,2262,786,5162,MPF,No
13,18,4,661,1612,1016,3239,DB,No
13,19,3,682,750,1390,4999,CB,No
13,20,2,1486,699,893,5338,AC,Yes
13,21,1,2491,715,2873,1838,MP,Yes
13,22,8,1008,1224,919,2183,DF,Yes
13,23,7,834,909,3050,7741,CF,Yes
13,24,6,1231,1489,5478,,ACF,No
13,25,5,1026,1196,3453,6270,MPF,No
13,26,4,807,1470,621,8600,DB,No
13,27,3,828,2166,947,5518,CB,Yes
13,28,2,829,913,1763,1039,AC,Yes
13,29,1,711,813,1246,1076,MP,Yes
13,30,8,971,835,1001,10591,DF,No
13,31,7,846,768,,4735,CF,No
13,32,6,1118,1814,1983,6973,ACF,No
14,1,6,381,,887,4949,ACF,No
14,2,5,,,,,MPF,Yes
14,3,4,169,856,1759,3213,DB,Yes
14,4,3,137,426,2308,2095,CB,Yes
14,5,2,,,,1450,AC,Yes
14,6,1,197,,154,3925,MP,Yes
14,7,8,177,,465,513,DF,No
14,8,7,446,185,1557,2513,CF,No
14,9,6,198,,616,2198,ACF,No
14,10,5,,,1260,2357,MPF,No
14,11,4,,,334,645,DB,Yes
14,12,3,,,,1593,CB,Yes
14,13,2,1649,1404,3517,2067,AC,Yes
14,14,1,158,,1482,2080,MP,Yes
14,15,8,298,,1563,1671,DF,No
14,16,7,160,,1179,1334,CF,No
14,17,6,,,698,437,ACF,No
14,18,5,,,677,1051,MPF,No
14,19,4,573,313,227,2313,DB,Yes
14,20,3,168,153,230,3220,CB,Yes
14,21,2,830,990,1416,,AC,Yes
14,22,1,,,132,1330,MP,Yes
14,23,8,213,658,252,2303,DF,No
14,24,7,284,471,346,1314,CF,No
14,25,6,601,,694,1304,ACF,No
14,26,5,511,,293,2438,MPF,No
14,27,4,,,2059,2868,DB,Yes
14,28,3,641,571,1360,714,CB,Yes
14,29,2,,,581,2534,AC,Yes
14,30,1,150,,1460,983,MP,Yes
14,31,8,,,647,809,DF,No
14,32,7,,,134,1305,CF,No
15,1,7,1635,1416,998,2208,CF,No
15,2,6,608,1398,1307,3002,ACF,No
15,3,5,527,794,804,6555,MPF,No
15,4,4,1022,859,812,1512,DB,No
15,5,3,947,789,587,1743,CB,No
15,6,2,999,850,655,1192,AC,No
15,7,1,1917,885,500,789,MP,Yes
15,8,8,686,1073,1102,1284,DF,Yes
15,9,7,1053,2201,1085,5304,CF,Yes
15,10,6,1196,3353,1744,4772,ACF,No
15,11,5,1803,737,631,2097,MPF,No
15,12,4,1031,1862,862,3029,DB,No
15,13,3,668,866,522,5810,CB,No
15,14,2,950,1341,2716,4219,AC,No
15,15,1,1252,1119,518,813,MP,Yes
15,16,8,516,635,694,971,DF,Yes
15,17,7,966,1077,1120,2033,CF,No
15,18,6,1691,873,1609,1882,ACF,No
15,19,5,1612,1419,1006,6081,MPF,No
15,20,4,500,576,566,896,DB,No
15,21,3,1755,936,560,2289,CB,No
15,22,2,588,1470,1204,1422,AC,No
15,23,1,993,700,590,1857,MP,Yes
15,24,8,1343,1230,555,1182,DF,Yes
15,25,7,1544,1022,1793,1884,CF,No
15,26,6,619,830,891,1420,ACF,No
15,27,5,625,915,686,2596,MPF,No
15,28,4,610,776,683,1149,DB,No
15,29,3,1565,1032,430,1307,CB,No
15,30,2,1872,1605,1093,3052,AC,No
15,31,1,947,2425,781,959,MP,Yes
15,32,8,1069,1559,990,1670,DF,Yes
16,1,8,1824,828,666,2555,DF,Yes
16,2,7,776,1105,1572,3442,CF,No
16,3,6,971,2186,2014,3953,ACF,No
16,4,5,1153,2061,1142,1059,MPF,No
16,5,4,1286,959,422,1755,DB,No
16,6,3,839,,1819,4786,CB,Yes
16,7,2,1391,732,548,3250,AC,Yes
16,8,1,1965,1497,410,1278,MP,Yes
16,9,8,1268,1202,1841,723,DF,Yes
16,10,7,1136,2595,1984,2099,CF,No
16,11,6,2191,2147,1052,,ACF,No
16,12,5,1277,1595,7658,947,MPF,No
16,13,4,1149,2554,2407,687,DB,No
16,14,3,1238,1131,1121,4706,CB,Yes
16,15,2,1721,764,547,3164,AC,Yes
16,16,1,1280,539,544,6569,MP,Yes
16,17,8,2689,1242,577,4178,DF,Yes
16,18,7,2250,1478,1217,7449,CF,No
16,19,6,2062,2745,2818,1371,ACF,No
16,20,5,2164,1650,1063,920,MPF,No
16,21,4,927,1133,464,4470,DB,No
16,22,3,1031,1628,504,1629,CB,Yes
16,23,2,1254,1218,459,3329,AC,Yes
16,24,1,1300,918,4352,627,MP,Yes
16,25,8,2176,1718,613,3945,DF,Yes
16,26,7,1396,1379,1712,,CF,No
16,27,6,1910,954,1755,1676,ACF,No
16,28,5,1713,1693,1442,,MPF,No
16,29,4,1434,635,526,5008,DB,No
16,30,3,1231,1162,407,2988,CB,Yes
16,31,2,1606,1063,567,1935,AC,Yes
16,32,1,1624,1666,950,144,MP,Yes
17,1,1,495,1739,674,1315,MP,Yes
17,2,8,385,2208,621,1875,DF,Yes
17,3,7,522,578,761,1680,CF,No
17,4,6,448,791,1002,724,ACF,No
17,5,5,1112,892,623,976,MPF,No
17,6,4,558,719,726,3391,DB,No
17,7,3,557,780,479,,CB,Yes
17,8,2,801,1371,974,4713,AC,No
17,9,1,649,2933,445,507,MP,Yes
17,10,8,422,610,690,1834,DF,Yes
17,11,7,369,848,1629,2471,CF,No
17,12,6,461,830,771,1083,ACF,No
17,13,5,453,1997,686,1187,MPF,No
17,14,4,565,1127,2094,1587,DB,No
17,15,3,703,689,407,10533,CB,Yes
17,16,2,2318,1116,487,5426,AC,No
17,17,1,386,1066,426,3467,MP,Yes
17,18,8,603,815,832,1084,DF,Yes
17,19,7,697,767,1577,6138,CF,No
17,20,6,685,5834,1504,1872,ACF,No
17,21,5,651,1120,1608,1433,MPF,No
17,22,4,400,919,1635,1032,DB,No
17,23,3,1300,954,888,2434,CB,Yes
17,24,2,687,721,528,1827,AC,No
17,25,1,802,929,443,1579,MP,Yes
17,26,8,397,1535,773,3892,DF,Yes
17,27,7,609,813,522,1161,CF,No
17,28,6,594,553,728,,ACF,No
17,29,5,524,1012,597,916,MPF,No
17,30,4,420,644,603,2210,DB,No
17,31,3,414,791,426,1663,CB,Yes
17,32,2,670,911,1077,3151,AC,No
18,1,2,375,986,1037,3495,AC,Yes
18,2,1,678,1158,1148,3681,MP,Yes
18,3,8,523,1166,1095,656,DF,Yes
18,4,7,392,1422,1028,1080,CF,No
18,5,6,850,972,985,1735,ACF,No
18,6,5,673,1045,1344,2193,MPF,No
18,7,4,1168,1307,2298,12144,DB,No
18,8,3,798,754,664,2529,CB,Yes
18,9,2,427,1315,748,1279,AC,Yes
18,10,1,772,1421,456,1003,MP,Yes
18,11,8,912,1280,847,1670,DF,Yes
18,12,7,424,1616,1735,2093,CF,No
18,13,6,657,1579,1686,7913,ACF,Yes
18,14,5,657,1477,1204,5704,MPF,No
18,15,4,966,790,732,2628,DB,No
18,16,3,475,3853,759,2232,CB,Yes
18,17,2,755,804,1324,1576,AC,No
18,18,1,637,880,1217,1042,MP,Yes
18,19,8,706,2180,1028,6849,DF,Yes
18,20,7,730,1122,2820,1015,CF,Yes
18,21,6,699,936,1219,1944,ACF,No
18,22,5,1344,1515,1246,4882,MPF,No
18,23,4,642,1048,1740,913,DB,No
18,24,3,1223,1649,563,1701,CB,No
18,25,2,2040,1728,908,13838,AC,No
18,26,1,656,1664,738,1709,MP,Yes
18,27,8,711,856,1391,1588,DF,Yes
18,28,7,407,1457,1137,2607,CF,Yes
18,29,6,926,1183,1636,7329,ACF,No
18,30,5,852,682,1006,1928,MPF,No
18,31,4,397,811,902,654,DB,No
18,32,3,676,1056,626,742,CB,Yes
19,1,3,523,666,,1154,CB,Yes
19,2,2,287,703,343,607,AC,Yes
19,3,1,1563,1892,677,2995,MP,Yes
19,4,8,311,652,,2095,DF,Yes
19,5,7,289,572,1139,,CF,No
19,6,6,334,2143,451,3691,ACF,No
19,7,5,639,1457,1051,3689,MPF,No
19,8,4,318,402,847,1962,DB,No
19,9,3,522,609,800,254,CB,Yes
19,10,2,366,1256,716,2085,AC,Yes
19,11,1,528,699,547,470,MP,Yes
19,12,8,332,717,474,1619,DF,Yes
19,13,7,438,935,1580,1095,CF,No
19,14,6,477,2555,965,631,ACF,No
19,15,5,570,783,893,7470,MPF,No
19,16,4,337,1214,358,829,DB,No
19,17,3,725,3121,478,835,CB,Yes
19,18,2,728,1200,3336,,AC,Yes
19,19,1,327,726,464,171,MP,Yes
19,20,8,474,899,1284,937,DF,Yes
19,21,7,921,649,534,1889,CF,No
19,22,6,367,1306,2009,3568,ACF,Yes
19,23,5,902,636,834,6911,MPF,No
19,24,4,274,2037,476,3072,DB,No
19,25,3,539,802,2012,2732,CB,Yes
19,26,2,352,1382,222,5419,AC,Yes
19,27,1,2070,1662,376,427,MP,Yes
19,28,8,351,764,368,838,DF,Yes
19,29,7,338,3981,,1016,CF,No
19,30,6,292,682,2803,,ACF,No
19,31,5,348,2581,858,2837,MPF,No
19,32,4,662,1748,1068,,DB,Yes
20,1,4,457,180,693,1512,DB,No
20,2,3,374,845,1262,600,CB,Yes
20,3,2,416,1451,1760,2405,AC,Yes
20,4,1,550,1113,538,546,MP,Yes
20,5,8,360,1403,1252,5559,DF,Yes
20,6,7,614,739,1305,3723,CF,No
20,7,6,329,657,1009,2391,ACF,No
20,8,5,315,1166,1196,3359,MPF,No
20,9,4,800,1069,968,3938,DB,No
20,10,3,725,2350,,1358,CB,Yes
20,11,2,386,1332,782,1605,AC,Yes
20,12,1,764,1278,584,627,MP,Yes
20,13,8,460,1019,669,1828,DF,Yes
20,14,7,513,,1212,4189,CF,No
20,15,6,614,1418,956,2872,ACF,No
20,16,5,593,3667,1123,4564,MPF,No
20,17,4,402,1202,732,1312,DB,No
20,18,3,490,1389,532,1973,CB,Yes
20,19,2,341,1426,1295,2561,AC,Yes
20,20,1,796,1058,1106,2155,MP,Yes
20,21,8,395,1051,632,791,DF,Yes
20,22,7,471,1319,1265,2233,CF,No
20,23,6,350,2712,1425,2034,ACF,No
20,24,5,817,821,841,3059,MPF,No
20,25,4,664,947,1636,4019,DB,No
20,26,3,616,594,628,570,CB,Yes
